Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Clientes.WebApi.csproj,,,Autofac.WebApi2 6.2.0,,,,,"Autofac.WebApi2, 6.2.0  Recommendation:  No supported version found"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Clientes.WebApi.csproj,,,Microsoft.AspNet.WebApi 5.3.0,,,,,"Microsoft.AspNet.WebApi, 5.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Clientes.WebApi.csproj,,,Microsoft.AspNet.WebApi.Core 5.3.0,,,,,"Microsoft.AspNet.WebApi.Core, 5.3.0  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Clientes.WebApi.csproj,,,Microsoft.AspNet.WebApi.WebHost 5.3.0,,,,,"Microsoft.AspNet.WebApi.WebHost, 5.3.0  Recommendation:  No supported version found"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Clientes.WebApi.csproj,,,Microsoft.Bcl.AsyncInterfaces 8.0.0,,,,,"Microsoft.Bcl.AsyncInterfaces, 8.0.0  Recommendation:  Remove Microsoft.Bcl.AsyncInterfaces, and replace with new package Microsoft.Bcl.AsyncInterfaces 10.0.1"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Clientes.WebApi.csproj,,,Microsoft.CodeDom.Providers.DotNetCompilerPlatform 2.0.1,,,,,"Microsoft.CodeDom.Providers.DotNetCompilerPlatform, 2.0.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Clientes.WebApi.csproj,,,System.Buffers 4.5.1,,,,,"System.Buffers, 4.5.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Clientes.WebApi.csproj,,,System.Diagnostics.DiagnosticSource 8.0.1,,,,,"System.Diagnostics.DiagnosticSource, 8.0.1  Recommendation:  Remove System.Diagnostics.DiagnosticSource, and replace with new package System.Diagnostics.DiagnosticSource 10.0.1"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Clientes.WebApi.csproj,,,System.Memory 4.5.5,,,,,"System.Memory, 4.5.5  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Clientes.WebApi.csproj,,,System.Numerics.Vectors 4.5.0,,,,,"System.Numerics.Vectors, 4.5.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Clientes.WebApi.csproj,,,System.Runtime.CompilerServices.Unsafe 6.0.0,,,,,"System.Runtime.CompilerServices.Unsafe, 6.0.0  Recommendation:  Remove System.Runtime.CompilerServices.Unsafe, and replace with new package System.Runtime.CompilerServices.Unsafe 6.1.2"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Clientes.WebApi.csproj,,,System.Threading.Tasks.Extensions 4.5.4,,,,,"System.Threading.Tasks.Extensions, 4.5.4  Recommendation:  Package functionality included with new framework reference"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Clientes.WebApi.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Clientes.WebApi.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.8.1 Recommended target framework: net10.0"
Feature.0006,Convert from Autofac to ASP.NET Core dependency injection,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\App_Start\WebApiConfig.cs,,,,,,,,
Feature.0004,Classic EntityFramework initialization needs to be adjusted in .NET Core,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Repositories\EF\ClientesDbContext.cs,,,,,,,,
Feature.1000,Convert application initialization code from Global.asax.cs to .NET Core and clean up Global.asax.cs,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Global.asax.cs,,,,,,,,
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Controllers\HealthCheckController.cs,10,8,T:System.Web.Http.IHttpActionResult,,,,,public IHttpActionResult Get()
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Controllers\HealthCheckController.cs,10,9,M:System.Web.Http.HttpGetAttribute.#ctor,,,,,HttpGet
